,fecha,estado,casos
1037,2020-02-02,14,0
1038,2020-02-02,15,0
1039,2020-02-02,16,0
1040,2020-02-02,17,0
1041,2020-02-02,18,0
1042,2020-02-02,19,0
1043,2020-02-02,20,0
1044,2020-02-02,21,0
1045,2020-02-02,22,0
1046,2020-02-02,23,0
1047,2020-02-02,24,0
1048,2020-02-02,25,0
1049,2020-02-02,26,0
1050,2020-02-02,27,0
1051,2020-02-02,28,0
1052,2020-02-02,29,0
1053,2020-02-02,30,0
1054,2020-02-02,31,0
1055,2020-02-02,32,0
1056,2020-02-03,1,0
1057,2020-02-03,2,0
1058,2020-02-03,3,0
1059,2020-02-03,4,0
1060,2020-02-03,5,0
1061,2020-02-03,6,0
1062,2020-02-03,7,0
1063,2020-02-03,8,0
1064,2020-02-03,9,0
